geneset_name	geneset_genes	geneset_size
BLK_kinase_targets	DBNL,FCGR2A,FCGR2B,FCGR2C	4
BLVRA_kinase_targets	BLVRA,PRKCB	2
BMPR1B_kinase_targets	SMAD1,SMAD2	2
BMX_kinase_targets	FGFR1,MET,PTK2,RUFY1,TNK2	5
BRAF_kinase_targets	BAD,BRAF,MAP2K1,MAP2K2,TTK	5
BRSK1_kinase_targets	BRSK1,CDC25B,CDC25C,MAPT,PRKAA1,TUBG1,WEE1	7
BTK_kinase_targets	BMX,BTK,CREB1,GTF2I,IKZF1,ITK,PLCG2,STAT5A,TEC,TIRAP	10
BUB1_kinase_targets	BUB3,CDC20	2
CAMK1_kinase_targets	ARHGEF7,CAMK2A,DNM1L,EIF4G3,HDAC5,HDAC7,HDAC9,LIPE,MARK2,MYL9,NUMB,PKLR,RPS19,RYR1,SIK1,SIK2,TH	17
CAMK2A_kinase_targets	ABI1,ALOX5,BRSK1,CACB,CACNA1B,CACNA1C,CALD1,CAMK2A,CARD11,CD44,CDK5R1,CDKN1B,CHAT,CHRM4,CLCN3,CREB1,CTNNB1,DLG1,DLG4,DRD3,ESPL1,ETS1,ETS2,FBXO43,FLNA,GABBR1,GFPT1,GJA1,GJC1,GLO1,GRIA1,GRIA4,GRIN2B,GRM1,HRH1,HSF1,ITGB1,ITGB1BP1,ITPKA,ITPR2,KCND2,KIF3A,LIPE,LRP4,MAPT,MCU,MECP2,MYH9,NCOR2,NLGN1,NOS1,OPRM1,PDC,PEA15,PLCB3,PLN,PPP1R14A,PTK2,PTPRA,RCHY1,RIMS1,RPH3A,RRAD,RYR2,SLC6A3,SLC6A4,SLN,SMAD2,SNCA,SPR,SRF,SYN1,TCAP,TH,TPH2,TRPV1,VIM,WEE2	78
CAMK2B_kinase_targets	GSK3A,GSK3B,PRKAA1,STMN1	4
CAMK2D_kinase_targets	ANKRD28,CACNB2,CEACAM1,HDAC4,ITPR2,KCNJ11,RYR2,SCN5A,TPD52	9
CAMK2G_kinase_targets	BAD,CAMK2G	2
CAMK4_kinase_targets	CAMK2A,CREB1,CREBBP,HDAC5,HNRNPL,MYH9,PHB2,RELA,SIK2,STMN1	10
CAMKK1_kinase_targets	BRSK1,CAMK1,CAMK1D,CAMK4,PRKAA1	5
CASK_kinase_targets	CASK,NRXN1	2
CDC42BPA_kinase_targets	CDC42BPA,MYL9	2
CDC7_kinase_targets	CLSPN,MCM2,PSIP1,RAD18	4
CDK1_kinase_targets	AAK1,ADD1,AHNAK,AMPH,ANAPC1,ANAPC4,APLP2,APP,AR,BAD,BARD1,BCL2,BCL2L11,BIRC5,BLM,BORA,BRCA1,BUB1,BUB1B,CALD1,CANX,CARHSP1,CASP8,CASP9,CCNB1,CD3EAP,CDC16,CDC23,CDC25A,CDC25B,CDC25C,CDC25C-B,CDC27,CDC7,CDCA5,CDK7,CEP55,CHEK1,CKAP2,CLASP2,CLIP1,CSNK2A1,CSNK2B,CTTN,CUX1,DCTN1,DCTN6,DDX3X,DIAPH1,DLG1,DLGAP5,DNM1L,DNM2,DNMT1,DUT,DYNC1LI1,E2F1,ECT2,EEF1D,EEF2K,EFHD2,EGFR,EIF4EBP1,ELAVL1,EPB41,EPN1,ERCC6L,ESPL1,EZH2,FANCG,FEN1,FLNA,FOXK2,FOXM1,FOXO1,GAPVD1,GIGYF2,GMPS,HIF1A,HIST1H1E,HMGA1,HMGA2,HMGCS1,HMGN5,HNRNPK,IL16,INCENP,ING1,IREB2,IRS2,ITPR1,JUN,JUNB,KAT5,KAT7,KIF11,KIF20B,KIF22,KIF2C,KMT2E,KRT8,LATS1,LBR,LDHA,LIG1,LIG3,LMNA,LMNB1,LOC690372,MAP2K1,MAP4,MAP7,MAPK6,MAPT,MCL1,MCM3,MCTS1,MDM4,MEF2C,MKI67,MPLKIP,MYOD1,NAGK,NCAPG,NCL,NCOA3,NDEL1,NEDD1,NIFK,NINL,NME1,NME2,NOLC1,NPM1,NSFL1C,NUCKS1,NUMA1,NUP210,NUP50,NUP98,NUSAP1,ODF2,OGFR,ORC6,PAICS,PAK1,PALLD,PBK,PDIA3,PDS5B,PHF8,PI4KB,PIK3C2A,PIK3C3,PIP5K1C,PITPNM1,PKN2,POLR2A,PPP1CA,PPP1R12A,PRC1,PRDX1,PTPN1,PTPN2,PTTG2,PYCR2,RAB4A,RAB5B,RAD9A,RANBP2,RANGAP1,RARA,RB1,RCC1,REPS2,RFC1,RGCC,RGPD3,RGPD4,RGPD6,RGPD8,RPA2,RPS3,RPS6KB1,RPTOR,RRM2,RTN4,RUNX1,RUNX2,SAMHD1,SETD8,SIRT1,SIRT2,SLBP,SP1,SQSTM1,SREBF1,SRRM2,SSR1,STIM1,STIP1,STMN1,SUPT5H,TCOF1,TERF1,TEX14,TFPT,TK1,TMPO,TOP1,TOP2A,TOP2B,TP53,TP53BP1,TP73,TPP1,TPR,TPX2,TSC1,TUBB,U2AF2,UBAP2L,UBE2A,UBE2I,UBXN2B,UGDH,UNG,USP1,USP14,USP16,VIM,WEE1,ZC3H11A,ZC3HC1,ZMYM3	235
CDK19_kinase_targets	EIF3F,PAK1	2
CDK2_kinase_targets	AARS2,ADD1,ADD3,ADRBK1,AKIRIN2,ALDH5A1,AMOT,ANKLE2,ANKRD17,APC,ARHGAP19,ARID1A,ARID4A,ATF2,ATRIP,BARD1,BAZ2A,BOD1L1,BRCA1,BTG1,C17ORF49,C1ORF198,C2ORF49,C6ORF106,C9ORF40,CALD1,CAMSAP1,CC2D1A,CCDC6,CCNA2,CCNE1,CDC25C,CDC25C-B,CDC5L,CDC6,CDC7,CDK16,CDK2,CDK7,CDKN1A,CDKN1B,CDKN2D,CDT1,CDX2,CEBPB,CENPF,CHD4,CHD7,CHEK1,CIC,CRMP1,CROCC,CRTC2,CTNNB1,CTTN,CTTNBP2NL,DAB1,DBNL,DDX3X,DHX38,DIAPH3,DLG1,DLGAP5,DMAP1,DNM1L,DNM2,DNMT1,DPF2,DPYSL3,DTL,EEF2,EFHD2,EIF2A,EIF4A3,EIF4G1,ELAVL1,ELF4,EML3,EPB41L3,ERAL1,ESR1,EYA3,EZH2,FAM122A,FAM168B,FOXC1,FOXK2,FOXM1,FOXO1,FOXP3,GATA3,GATAD2A,GIGYF2,GMPS,GORASP2,GTF2F1,GTF2I,HIRA,HIST1H1A,HIST1H1E,HMGA1,HMGN5,HN1L,HNRNPD,HNRNPH1,HNRNPH2,HNRNPK,HNRNPUL1,ID3,ILF3,IMPDH2,INCA1,INO80E,IREB2,ITGB3BP,KAT7,KDM2A,KIF22,KMT2D,LARP1,LIG1,LIG3,LMNB2,LRCH3,LRWD1,MACF1,MAP2,MARCKS,MCL1,MCM2,MCM3,MCM4,MCM7,MDC1,MDM2,MED1,MICALL1,MKI67,MKL1,MLLT4,MRPS18B,MTA1,MTA2,MTHFD1L,MYBL2,MYOD1,NCAPH,NCL,NDE1,NELFA,NOB1,NOSIP,NPAT,NPM1,NR1I2,NR3C1,NUCKS1,NUDC,NUFIP2,NUMA1,NUP107,NUP133,NUP153,NUP98,ORC1,ORC2,PAICS,PARP10,PBRM1,PDS5B,PELP1,PGR,PHF6,POLL,POLM,POLR2A,POU2F1,PPP1CA,PPP1R12C,PPP1R35,PRKAR1A,PRPF3,PRPF31,PRRC2A,PTHLH,PTPN2,PTPN6,PYCR1,PYCR2,QTRT1,RAD18,RAD9A,RALY,RANGAP1,RB1,RBBP8,RBL1,RBL2,RBM27,RPL11,RPL12,RPS27,RPS27L,RPS3,RRM2,RRN3,RTN4,RUNX1,SAMHD1,SCML2,SETDB1,SF3B1,SIRT2,SKP2,SLAIN2,SNAPIN,SNRNP70,SNW1,SORBS3,SPAG9,SPDL1,SRRM1,SRSF11,SRSF9,STMN1,SUDS3,SUPT5H,SUPT6H,TANC1,TBCE,TCF3,TCOF1,TERF2,TERF2IP,TFAM,TFCP2,THRAP3,TK1,TNKS1BP1,TOPBP1,TOR1AIP1,TP53,TP53BP1,TP63,TP73,TPR,TPX2,TSPYL2,TSR1,TUBG1,UBE2A,UBE2O,UBXN1,UHRF1,UNG,VIM,VIPAS39,XRCC1,XRCC6,ZBTB16,ZC3H11A,ZC3H18,ZC3HC1,ZHX1,ZMYM3,ZNF609,ZYX	267
CDK20_kinase_targets	CDK2,ICK	2
CDK3_kinase_targets	ATF1,CABLES1,CEBPB,JUN,LIN9,RB1,TFCP2	7
CDK4_kinase_targets	BRCA1,CEBPA,CELF1,FOXM1,FOXO1,GATA4,PELP1,RASSF1,RB1,RBL1,RBL2,RUNX3,SMAD3,TCF3,WDR77	15
CDK5_kinase_targets	AATK,ADD2,AGAP2,AMPH,APEX1,AR,ATM,AXIN1,CACNA1B,CASK,CDK16,CDK5R1,CLOCK,CRMP1,CTNNB1,CTNND2,DAB1,DBN1,DIXDC1,DNM1,DNM1L,DNMT1,DPYSL2,DPYSL3,DRD2,EPRS,ESYT1,FZR1,HTRA2,HTT,KALRN,KCNMA1,LMTK2,MAPT,MEF2A,MEF2D,MYC,NDEL1,NEFL,NFAT5,NOS3,NR3C1,ODF1,OPRD1,PARK2,PIK3C3,PIP5K1C,PLD2,PMAIP1,PPARG,PPP1CA,PPP1R1A,PPP1R2,PSEN1,PTK2,PXN,RASGRF1,RASGRF2,RB1,RPS6KB1,SEPT5,SH3GLB1,SIPA1L1,SRC,STK24,STMN1,SUDS3,SYN1,TH,TLN1,TP53,TPPP,VIM,WASF1,WASF2	75
CDK6_kinase_targets	CDKN1A,CDKN1B,CELF1,FOXM1,NPM1,RB1,RBL2,RUNX1	8
CDK7_kinase_targets	AR,CDK1,CDK11B,CDK2,CDK4,CDK6,E2F1,ESR1,ICK,MCM2,NR5A1,PCGF6,POLR2A,RARA,RARG,SMAD1,TP53	17
CDK8_kinase_targets	CCNH,E2F1,SMAD1,SMAD3	4
CDK9_kinase_targets	CDK9,HIST1H1A,NCOA2,POLR2A,PPARG,RB1,RCHY1,SMAD1,SMAD3,SUPT5H,TP53	11
CDKL5_kinase_targets	CDKL5,LRRC4C	2
CHEK1_kinase_targets	ADD1,ADD2,ADD3,ANKRD12,ARHGEF2,AURKB,BAZ1A,BLM,BUD13,C17ORF85,CAAP1,CAMSAP2,CCDC6,CDC25A,CDC25B,CDC25C,CDK1,CDK13,CEP170B,CHD7,CHEK1,CHTOP,CLK3,CLSPN,CSNK2B,CTR9,CTTN,CWC25,DDX19A,DDX19B,DDX24,DRG2,E2F3,E2F6,EBNA1BP2,EML3,EPRS,ERRFI1,FANCD2,FANCE,FEN1,FYTTD1,GOLGA4,GTF3C1,HDLBP,HIVEP1,HNRNPA2B1,HNRNPM,IDI1,INF2,ING1,KIFC1,KPNA1,KPNA2,LAMC1,LATS2,LIG1,LMNA,LMO7,MAP2K1,MAP2K2,MAP4,MAPT,MATR3,MCM5,MDC1,MDM4,MED1,MINK1,MKI67,MYBBP1A,MYCBP2,NEK11,NFKB1,NHS,NUP153,OGT,OSBPL11,PHF2,PHF8,PLRG1,POLDIP3,POP4,PPME1,PPP2R5D,PROSER2,PRPF3,PRR5,PRRC2B,PRRC2C,RACGAP1,RALY,RANBP2,RASSF1,RAVER1,RB1,RBM14,RBM26,RBM42,RIF1,RPL13,RPL19,RRP12,SCAF11,SENP2,SEPT7,SIN3A,SLTM,SNCB,SPEN,SRRM2,SSBP1,STK4,SYK,TBC1D4,TFDP1,TICRR,TLK1,TLK2,TNK1,TP53,TP53BP1,TP73,TRIM28,TRIP12,UIMC1,WIZ,XRCC6,YBX1,YBX2,YBX3,ZBTB11,ZC3HC1,ZNF395,ZNF638	135
CHEK2_kinase_targets	AATF,BDNF,BRCA1,CDC25A,CDC25C,CHEK2,E2F1,E2F3,ELAVL1,FOXM1,HIST1H1C,LATS2,MAPT,MDM4,PML,RB1,REV3L,TP53,TRIM28,TTK,VHL,XRCC1	22
CHUK_kinase_targets	BBC3,CCND1,CREBBP,CTNNB1,ESR1,FOXA2,FOXO3,NCOA3,NCOR1,NCOR2,NFKB1,NFKB2,NFKBIA,PIAS1,REL,RELA,RELB,TAX1BP1,TRAF4	19
CLK1_kinase_targets	ABL1,PTPN1	2
CLK2_kinase_targets	CSNK1D,PTPN1	2
CSK_kinase_targets	LCK,P2RX3,PTPRC,SRC,YES1	5
CSNK1A1_kinase_targets	AHCYL1,APC,ATF1,BACE1,BID,CARD11,CDC25A,CDH1,CDK5,CREB1,CREM,CTNNB1,CTPS2,DEPTOR,ECE1,EIF2B5,EIF6,FADD,FOXG1,FOXO1,GJA1,GJC1,GYS1,HNRNPC,IFNAR1,KCNIP3,LGALS3,LRP6,MDM4,NFAT5,NFATC3,PARK2,PHLPP1,PPP1R1B,PTK2,RHOB,SLC18A2,SLC4A1,SNCA,STX1A,TARDBP,TBX21,TP53,VHL,YWHAQ,YWHAZ	46
CSNK1D_kinase_targets	APC,BACE1,CDH1,CTNNB1,DCK,DVL2,FGFBP1,FOXO1,HIF1A,KIR3DL1,MAPT,MDM2,MTSS1,NCOA3,PER2,PSEN2,TP53,UHRF1,YAP1	19
CSNK1E_kinase_targets	APC,CDH1,CSNK1E,CTNNB1,DVL1,DVL2,EIF4EBP1,LRP6,NFIL3,PER1,PER2,SNAI1,TP53,ZBED3	14
CSNK1G1_kinase_targets	APC,LRP6	2
CSNK2A1_kinase_targets	ABCA1,ABCC1,ABCF1,ACE,AIP,AKT1,AMPH,ANP32A,ANP32B,APOE,AQP4,ARNT,ARNTL,ARRB2,ASCL1,ATF1,ATXN3,BCAM,BIK,BIRC5,BRCA1,C1R,CABS1,CACB,CADPS,CALD1,CALM1,CALM3,CAPZA1,CARD9,CASP2,CASQ1,CASQ2,CAV1,CAV2,CBX1,CCNH,CD5,CDC25B,CDC25C,CDC27,CDC34,CDC37,CDH1,CDK1,CDKN1B,CFTR,CLIP1,COL17A1,CORO1C,CPLX1,CPLX2,CREB1,CREM,CSNK2A1,CSNK2B,CTCF,CTDP1,CTNNA1,DAXX,DDIT3,DDX58,DMBT1,EEF1D,EIF2S2,EIF4EBP1,EIF5,ERCC3,ESR1,EXOSC9,F5,FAF1,FDX1,FGA,FMR1,FOSB,FURIN,GADD45GIP1,GAP43,GGA1,GJA8,GMFB,GMNN,GPI,GRIN2B,GYS1,HCLS1,HDAC1,HDAC2,HDAC3,HES6,HHEX,HMGA2,HMGN1,HNRNPA1,HNRNPC,HOXB6,HOXB7,HSP90AA1,HSP90AB1,HSPH1,IBSP,IFI16,IGF2R,IGFBP1,IGFBP3,IKZF1,IL16,IP6K2,IRS1,ITCH,JUN,KIR3DL1,L1CAM,LEF1,LIG1,M6PR,MAPK9,MAX,MAZ,MCM2,MDC1,MDM2,MEF2A,MME,MRE11A,MUSK,MYB,MYBL1,MYBL2,MYC,MYCN,MYF5,MYH10,MYH2,MYH9,MYL12B,NCAPH,NCF1,NCL,NCOA2,NCOR2,NFKBIA,NFKBIB,NHE-3,NKX2-5,NOL3,NPHP1,NR1H3,OAZ2,ODC1,PACS1,PACSIN1,PAX3,PDCD5,PDCL,PDIA6,PDX1,PEA15,PER2,PGR,PIAS1,PIK3R1,PIN4,PIP4K2A,PKD2,PLD1,PML,POLR2F,PPARG,PPP1R2,PRPF3,PSEN2,PSMA3,PTEN,PTGES3,RAD1,RAD51,RAD9A,RANGAP1,RELA,RFC1,RGS19,RNF7,RNPS1,RPS5,RPS6KA4,RPS6KA5,RPS6KB1,RRAD,RRN3,SAT1,SCN2A,SEPT2,SERPINF1,SHOX,SIRT1,SLBP,SLC18A2,SLC28A2,SLC3A2,SLC9A5,SLITRK1,SMC3,SNAI1,SNCA,SPTAN1,SPTBN1,SRF,SRPK1,SSB,SSRP1,STARD10,STAT1,STC2,STIP1,STX1A,STX1B,TARDBP,TELO2,TERF1,TFAP2A,TFPI,THRA,TLE1,TNFAIP1,TOP1,TOP2A,TP53,TRHR,TSPY1,TWIST1,TYMS,UBE2R2,VDR,VHL,VTN,WAS,WASF2,WASL,WEE1,XRCC1,XRCC4,YY1	244
CSNK2A2_kinase_targets	CCNH,CDC37,CSNK2B,CTNNB1,HSF1,NKX3-1,SMC3,SRPK1,TYMS,XRCC1	10
DAPK1_kinase_targets	BECN1,CAMKK2,DAPK1,HSF1,MCM3,MYL12B,STX1A,TP53	8
DAPK3_kinase_targets	CDKN1A,DAPK3,MDM2,MYL12B,MYL9,PPP1R12A,PPP1R14A,RPL13A,TP53	9
DYRK1A_kinase_targets	AMPH,CASP9,CCND1,CCNL2,DNM1,DYRK1A,EIF2B5,FOXO1,GYS1,MAPT,RCAN1,SF3B1,SIRT1,SNCA,SPRY2,SRSF1,TP53	17
DYRK1B_kinase_targets	CCND1,CDKN1A,GYS1,H3F3A,HDAC5,HNF1A,SF3B1	7
DYRK2_kinase_targets	CARHSP1,CRMP1,DPYSL2,DPYSL3,EIF2B5,EIF4EBP1,GLI2,GYS1,H3F3A,KATNA1,MAPT,SIAH2,TP53	13
DYRK3_kinase_targets	AKT1S1,H3F3A,SIRT1	3
EEF2K_kinase_targets	EEF2,EEF2K	2
EGFR_kinase_targets	ADRBK1,AGO2,ANXA1,ARHGAP35,CALM1,CCDC50,CRK,CTNNB1,EGFR,EPB41,EPS15,EZR,GAB1,GPRC5A,GSTP1,HDAC6,LOC100343293,LRRK1,PCNA,PDP1,PLCG1,PLD2,PPP2CA,PRKCD,PTK2,PTPN1,RASA1,RGS16,SHC1,SHC3,VAV2	31
EIF2AK2_kinase_targets	CDK1,EIF2AK2,EIF2S1,ILF3,IRS1,MAPT,PPP2R5A,TP53	8
EIF2AK3_kinase_targets	EIF2AK3,EIF2S1	2
EPHA2_kinase_targets	CLDN4,EPHA2	2
EPHA4_kinase_targets	EPHA4,NGEF	2
EPHB1_kinase_targets	CASKIN1,SDC3,STAT3	3
EPHB2_kinase_targets	RRAS,SDC2	2
ERBB2_kinase_targets	CDK1,CTNNB1,DOCK7,ERBB2,PLXNB1	5
FER_kinase_targets	AR,CTNNB1,CTTN,FER,JUP,NSF,PECAM1,PTPN1,STAT3	9
FES_kinase_targets	BCR,DPYSL2,FES,NSF,PECAM1	5
FGFR1_kinase_targets	FGFR1,LDHA,PDK1,PDP1,PKM,ZMYM2	6
FGFR2_kinase_targets	FGFR2,PTEN	2
FGFR3_kinase_targets	FGFR3,PTEN,RPS6KA3,STAT1	4
FGR_kinase_targets	ACO2,PTK2,SDHA	3
FLT3_kinase_targets	EPHB6,FLT3,PDK1	3
FRK_kinase_targets	FOS,PTEN	2
FYN_kinase_targets	AATK,ABL1,ADD2,AGAP2,APP,ARHGAP33,BCR,CAV1,CBL,CD300LB,CD300LF,CD3E,CD5,CHN2,CLIC5,CNN1,CNN3,CRMP1,CTNNB1,CTNND1,CYTH1,DAB1,DCC,DLG4,DPYSL2,DPYSL3,FCGR2A,FCGR2B,FLOT1,FLOT2,FYB,FYN,GABRG2,GRB10,GRIN2A,H3F3A,ITCH,ITPR1,JUP,KIRREL,MAP2,MAPK14,MAPT,NMT1,NPHS1,PECAM1,PLCG2,PROM1,PTGS2,PTPN11,PTPRT,PXN,RPS6KA3,RTN4,SCN5A,SIGLEC10,SKAP1,SKAP2,SLAMF1,SNCA,STK11,TGFB1I1	62
GRK1_kinase_targets	CLDN5,OCLN,RHO	3
GRK4_kinase_targets	BDKRB2,DRD1	2
GRK5_kinase_targets	ADRB2,GRK5,SNCA,TP53	4
GRK6_kinase_targets	CXCR4,GRK6,LTB4R	3
GSK3A_kinase_targets	ANKRD28,ARHGAP31,BCL2L1,BCL3,CCNE1,CEBPA,CTNNB1,DPYSL2,GSK3A,IRS2,LRP6,MAPT,MITF,MYC,NDRG1,NEFM,NEUROG2,NIFK,NR3C1,PKD2,TBX21	21
GSK3B_kinase_targets	ADD2,APC,APP,ARHGAP31,ARNTL,ATXN3,BAX,BCAM,BCL2L1,BCL2L12,BCLAF1,BORA,CABYR,CCND1,CCND2,CCND3,CCNE1,CDC25A,CDH1,CDKN1A,CDX2,CEBPB,CIITA,CLASP2,CLOCK,CREB1,CTNNB1,CTNND1,CTNND2,DCX,DNM1,DNM1L,DPYSL2,DPYSL3,DROSHA,E2F1,EIF2B5,EIF4EBP1,ESR1,FBXO4,FRAT1,GCM1,GPHN,GSK3B,GYS1,HDAC4,HIST1H1B,HNRNPD,HSF1,HTR1B,IRS1,JUN,JUNB,KAT5,KLC2,KLF5,LPCAT1,LRP6,MAP1B,MAP2,MAPT,MARK2,MCL1,MEF2D,MITF,MNX1,MUC1,MYB,MYC,MYCL,MYLK,MYOCD,NACA,NEFH,NEUROG2,NFE2L1,NFKB2,NIFK,NR1D1,NR3C1,PAX3,PDX1,PHLPP1,PPP1R16B,PPP1R2,PRKCE,PSEN1,PTEN,PTK2,RASSF1,RBM38,RCAN1,RELA,RELB,SFPQ,SIK1,SMAD1,SNAI1,SNAI2,SNCAIP,SPAG5,SREBF1,SUFU,TNKS,TOP2A,TP53,TSC2,USF2,VHL,ZBED3,ZC3HAV1	111
GTF2F1_kinase_targets	GTF2F1,RARG	2
HCK_kinase_targets	ABL1,ABL2,ADAM15,BCR,ELMO1,HCK,RAPGEF1,STAT5B	8
HIPK2_kinase_targets	CBX4,CDKN1B,CREB1,CTBP1,HMGA1,PAX6,PDX1,PML,RUNX1,SIAH2,TP53,ZBTB4	12
ICK_kinase_targets	BAG6,ICK,RPTOR	3
IGF1R_kinase_targets	IGF1R,IRS1,PDPK1	3
IKBKB_kinase_targets	BBC3,BCL10,CDKN2A,CYLD,DOK1,FOS,FOXO3,IKBKG,IRF3,IRF5,IRS1,NFKB1,NFKBIA,REL,RELA,RELB,RPS3,SNAP23,TP63,TSC1,ZC3H12A	21
IKBKE_kinase_targets	CYLD,ESR1,FOXO3,IRF3,IRF7,NFKBIA,PELI1,RELA,STAT1	9
ILK_kinase_targets	AKT1,CFL1,MYL12B,NACA,PPP1R12A,PPP1R14A,PPP1R14B,PPP1R14C	8
INSR_kinase_targets	ADRB2,ARHGAP5,BLVRA,CALM1,CEACAM1,DOK1,GAB1,INSR,IRS2,NFKBIA,PHB,PIK3R1,PIK3R3,PPP2CA,PTPN6,SOCS3,STAT5B	17
IRAK1_kinase_targets	IRAK1,PELI1,PELI2,STAT3	4
IRAK4_kinase_targets	IRAK1,IRAK4,NCF1,PELI1	4
ITK_kinase_targets	BMX,BTK,HAVCR2,ITK,PLCG1,SIGLEC10,TEC	7
JAK1_kinase_targets	MAP3K5,STAT1	2
JAK2_kinase_targets	ARHGEF1,CCR2,CTLA4,EPOR,EZH2,GAB2,GRB2,GTF2I,HIST1H3A,HLTF,JAK2,MAP3K5,MAPK1,MAPK3,PAK1,PDK1,PRLR,PRMT5,SOCS3,STAP2,STAT1,STAT3,STAT5A,STAT5B	24
JAK3_kinase_targets	ELAVL1,JAK1,JAK3,PLD2,SHC1,SIGLEC10,STAT1,STAT5A	8
KDR_kinase_targets	KDR,PFN1	2
KIT_kinase_targets	KIT,LAT2	2
LATS1_kinase_targets	LATS1,YAP1	2
LATS2_kinase_targets	ABL1,SNAI1,YAP1,YWHAG	4
LCK_kinase_targets	ACP1,ADAM15,CBL,CCDC50,CD163L1,CD247,CD33,CD5,CHN2,DAPP1,DGKA,ESR1,EZR,FOXP3,G3BP1,IL2RB,ITGB2,ITK,LCK,LCP2,MAPK14,MED28,NFKBIA,PECAM1,PIK3R1,PLCG2,PPP2CA,PRDX1,PRKCQ,PTEN,PTPN6,SH2B3,SH2D2A,SHC1,SIGLEC10,SLAMF1,SLC25A4,SOCS3,SPTAN1,SSBP3,STAT2,STAT5A,SYK,VAV1,WAS,ZAP70	46
LIMK1_kinase_targets	CFL1,DSTN	2
LIMK2_kinase_targets	CFL1,DSTN	2
LMTK2_kinase_targets	CFTR,PPP1CA,PYGB	3
LRRK2_kinase_targets	AKT1,EZR,LRRK2,MSN,RDX,RPS11,RPS15,SNAPIN,TUBB,TUBB2B,TUBB3,TUBB4A,TUBB4B	13
LYN_kinase_targets	ABL1,BCR,BTK,CASP8,CD163L1,CD19,CDK4,CDKN1B,CSF2RB,DAPP1,DBNL,FCGR2A,FCGR2B,FCGR2C,GCSAM,GRIA2,HCLS1,LAT2,LPXN,LY96,NMT1,PEAK1,PPP1R8,PRKCD,PTEN,PTGS2,PTPN6,RGS16,SLAMF1,SLC4A1,SYK,TRIM28,WAS	33
MAP2K1_kinase_targets	GSK3B,KRT8,MAPK1,MAPK3,MYOD1,RAF1,TAL1	7
MAP2K2_kinase_targets	KRT8,MAPK3	2
MAP2K3_kinase_targets	MAP2K3,MAPK14	2
MAP2K4_kinase_targets	MAP2K4,MAPK10,MAPK14,MAPK8,MAPK9,RXRA	6
MAP2K6_kinase_targets	HSF4,MAP2K6,MAPK12,MAPK14,PAK6	5
MAP2K7_kinase_targets	FADD,MAPK10,MAPK8,MAPK9	4
MAP3K1_kinase_targets	FADD,MAFA,MAP2K1,MAP2K7	4
MAP3K10_kinase_targets	DYRK2,TCF3	2
MAP3K11_kinase_targets	MAP2K3,MAP2K4,MAP3K11,PIN1	4
MAP3K14_kinase_targets	CHUK,EZR,IKBKB,MSN,NFKB2,NFKBIA	6
MAP3K3_kinase_targets	RCAN1,RIPK4	2
MAP3K5_kinase_targets	CDKN1A,DAXX,MAP2K3,MAP2K4,MAP2K6,MAP3K5,MAPK14,MAPK8,PDPK1,STRAP	10
MAP3K6_kinase_targets	MAP3K5,MAP3K6,MAPK14,MAPK8	4
MAP3K7_kinase_targets	HDAC4,HDAC5,HDAC7,MAP3K7,PRKAA2,PTPN3,RCAN1	7
MAP3K8_kinase_targets	ABL1,CDK1,CHEK1,CREB1,EIF4EBP1,EIF4G1,EZR,HIST1H2BB,MAP2K1,MAP2K2,MAP2K3,MAP2K6,MSN,PLK1,RDX,RPS6KA1	16
MAP4K1_kinase_targets	CARD11,LCP2,MAP3K11,MAP4K1	4
MAP4K3_kinase_targets	MAP4K3,PRKCQ	2
